D/B BASIL MINK (3.5 KG),D/B,BASIL,MINK,3.500
D/B MARVEL MINK (4 KG),D/B,MARVEL,MINK,4.000
D/B PAAVI MINK (4.5 KG),D/B,PAAVI,MINK,4.500
D/B SKYDIVE MINK (5 KG),D/B,SKYDIVE,MINK,5.000
D/B AARAM MINK (3.5 KG),D/B,AARAM,MINK,3.500
D/B AYKA MINK (4 KG),D/B,AYKA,MINK,4.000
D/B JALSA MINK (4.5 KG),D/B,JALSA,MINK,4.500
D/B SHAHI MINK (5 KG),D/B,SHAHI,MINK,5.000
D/B TAJ MINK (5 KG),D/B,TAJ,MINK,5.000
D/B UTSAV MINK (5 KG),D/B,UTSAV,MINK,5.000
D/B PASHMINA MINK (6 KG),D/B,PASHMINA,MINK,6.000
S/B AYKA MINK (2.5 KG),S/B,AYKA,MINK,2.500
S/B JALSA MINK (3 KG),S/B,JALSA,MINK,3.000
S/B SHAHI MINK (3.3 KG),S/B,SHAHI,MINK,3.300
D/B PROUDLY MINK (5.2 KG),D/B,PROUDLY,MINK,5.200
D/B RANGOLI MINK (4.8 KG),D/B,RANGOLI,MINK,4.800
